20MICRONS,20200127,37.65,37.65,36,36.15,40850,0
21STCENMGM,20200127,14.4,14.5,14.4,14.4,1280,0
3IINFOTECH,20200127,2.4,2.5,2.3,2.3,2481868,0
3MINDIA,20200127,22201,23500,22200,22306.45,2517,0
3PLAND,20200127,6.6,6.6,6.6,6.6,300,0
5PAISA,20200127,193.05,198,191.55,192.3,15352,0
63MOONS,20200127,109.7,111.65,109.1,109.55,110340,0
A2ZINFRA,20200127,7.55,7.55,7.05,7.2,275327,0
AARTIDRUGS,20200127,627,635,615,619.1,18299,0
AARTIIND,20200127,853.9,864,845,857.75,80718,0
AARVEEDEN,20200127,14.65,15.45,14,14.4,5979,0
AAVAS,20200127,1920,1963.6,1880,1919.4,117976,0
ABAN,20200127,26.4,26.75,26.1,26.25,48842,0
ABB,20200127,1312,1360,1312,1339.6,45579,0
ABBOTINDIA,20200127,12560,12734.3,12560,12666.3,8959,0
ABCAPITAL,20200127,104.9,105.9,103.55,104.05,1294553,0
ABFRL,20200127,232.9,237,232.05,234.25,268181,0
ABSLBANETF,20200127,311.4,311.4,309,309,5,0
ABSLNN50ET,20200127,292.62,295.36,292,292.66,42,0
ACC,20200127,1555,1579.6,1544.15,1548.85,535508,0
ACCELYA,20200127,1064.8,1064.8,1042,1047.95,2120,0
ACE,20200127,86.95,89.6,86.05,86.75,190143,0
ADANIENT,20200127,229.5,236.45,226.05,230.55,5293975,0
ADANIGAS,20200127,173.65,179.45,172,173.9,2660162,0
ADANIGREEN,20200127,189,194.1,186.5,190.75,881601,0
ADANIPORTS,20200127,383.7,386.25,379.8,381.25,1076027,0
ADANIPOWER,20200127,63.35,65.25,62.7,64.7,8398543,0
ADANITRANS,20200127,331,334.55,328.4,330.05,92228,0
ADFFOODS,20200127,298.2,298.2,294.8,295.2,18065,0
ADHUNIKIND,20200127,44.3,44.3,41.65,42.45,25121,0
ADLABS,20200127,4.1,4.25,4.05,4.15,24807,0
ADORWELD,20200127,337.5,337.5,325.15,326.6,4494,0
ADROITINFO,20200127,6.2,6.2,6.2,6.2,432,0
ADSL,20200127,19.15,21.05,19.15,21.05,38821,0
ADVANIHOTR,20200127,55.4,55.4,52.5,53.1,4405,0
ADVENZYMES,20200127,180,181.9,175.5,176.6,106172,0
AEGISCHEM,20200127,210.9,212.5,204.3,210.9,227683,0
AFFLE,20200127,1518.8,1620.7,1507.25,1602.25,224742,0
AGARIND,20200127,99.8,99.8,85.85,86.45,53360,0
AGCNET,20200127,201.3,209.3,201.05,201.05,28345,0
AGRITECH,20200127,47.1,49.25,45.4,46.1,10975,0
AGROPHOS,20200127,28.9,28.9,28.9,28.9,1397,0
AHLEAST,20200127,182.45,182.45,176.3,178.4,1300,0
AHLUCONT,20200127,309.8,309.8,298.1,302.6,10216,0
AHLWEST,20200127,359.95,371.25,351.05,354.7,2982,0
AIAENG,20200127,1745,1780.15,1722.1,1733.4,28595,0
AIONJSW,20200127,15,15.45,14.55,14.75,159489,0
AIRAN,20200127,13.45,14.5,13.2,13.6,34952,0
AJANTPHARM,20200127,1180.25,1194.8,1155.05,1176.1,71997,0
AJMERA,20200127,144.8,154.15,144.8,152.25,83054,0
AKASH,20200127,85.5,85.55,80,82.15,2500,0
